#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
      34       1.7912       1.3919,      34       1.1654       1.8270,      34       1.3992       1.4994,      34       1.5779       1.2983,      34       1.1544       1.0422,      34       1.5348       1.8332,      34       1.1774       1.1001,      34       1.2953       2.2317,      34       1.1301       1.7667,      34       1.6442       3.0562
      35       1.5123       1.2287,      35       1.3363       1.5146,      35       1.2737       3.1122,      35       1.4600       1.4882,      35       1.4005       1.1309,      35       1.3509       2.1416,      35       1.2222       1.2724,      35       1.3653       1.6611,      35       1.0005       1.4570,      35       1.5510       2.3898
      36       1.5094       1.4326,      36       1.2635       2.7680,      36       1.5372       3.4040,      36       1.2809       1.8935,      36       1.3240       1.0865,      36       1.2813       3.1405,      36       1.1582       1.4677,      36       1.3943       1.3264,      36       1.0788       1.0774,      36       1.9844       2.0934
      37       1.5338       1.4086,      37       1.3657       2.4625,      37       1.2806       2.2778,      37       1.6043       1.5645,      37       1.2854       1.8143,      37       1.3449       2.5498,      37       1.5174       1.6678,      37       1.1675       1.4113,      37       1.1986       1.5985,      37       1.7919       2.0179
      38       1.5348       0.9383,      38       1.3045       2.9015,      38       1.3092       2.4530,      38       1.1317       2.4131,      38       1.1150       1.3756,      38       1.4997       2.0347,      38       1.2922       2.4462,      38       1.4999       1.0349,      38       1.1583       1.5630,      38       1.4463       1.9562
      39       1.5151       1.4857,      39       1.5042       3.3648,      39       1.3665       2.5493,      39       1.7051       1.8418,      39       1.1864       1.4550,      39       1.4317       2.3953,      39       1.2577       2.0480,      39       1.3957       0.9756,      39       0.9839       1.8260,      39       1.5071       2.0700
      40       1.6897       1.3166,      40       1.1782       2.9692,      40       1.8049       2.7239,      40       1.7408       1.9675,      40       1.2767       1.3754,      40       1.5463       2.1224,      40       1.4172       1.5672,      40       1.2177       1.4027,      40       1.1189       1.7272,      40       1.7479       1.7340
      41       1.6479       1.5041,      41       1.1374       3.7869,      41       1.1867       3.4493,      41       1.7786       1.9927,      41       1.4489       1.2861,      41       1.4777       2.3014,      41       1.3691       1.5752,      41       1.4116       2.0854,      41       1.0463       1.7006,      41       1.6820       1.6563
      42       1.6284       1.5467,      42       1.2852       3.5279,      42       1.5053       3.1387,      42       1.6815       1.6650,      42       1.4617       0.9436,      42       1.5240       1.7375,      42       1.2205       1.6834,      42       1.3970       2.8100,      42       1.1846       1.9737,      42       1.6468       1.1306
      43       1.4876       1.2976,      43       1.1728       4.6561,      43       1.1170       3.6510,      43       1.8024       1.4539,      43       1.7318       1.2086,      43       1.7561       2.2412,      43       1.2340       1.9475,      43       1.1797       1.8543,      43       1.3870       2.7787,      43       1.7190       1.2894
      44       1.7735       1.6304,      44       1.2242       3.7729,      44       1.3505       4.1284,      44       1.5292       2.1667,      44       1.7717       1.3915,      44       1.2807       2.7423,      44       1.3812       2.5069,      44       1.3049       2.6699,      44       1.3222       2.9083,      44       2.1383       1.2793
      45       1.9652       1.5119,      45       1.1853       3.1050,      45       1.1665       2.6313,      45       1.6845       1.9849,      45       1.2729       1.6161,      45       1.7946       1.6350,      45       1.5952       2.2447,      45       1.4246       1.9331,      45       1.4736       2.9067,      45       1.7712       1.3123
      46       1.7850       1.9083,      46       1.1707       3.9237,      46       1.1469       3.3205,      46       1.4202       2.4339,      46       1.3963       2.1138,      46       1.6173       1.4328,      46       1.7428       1.9399,      46       1.2964       2.0266,      46       1.3902       3.5036,      46       1.8236       1.7327
      47       1.5780       1.8495,      47       1.2210       3.4378,      47       1.4438       3.0229,      47       1.5251       2.3660,      47       1.3567       2.6083,      47       1.4843       2.0471,      47       1.3992       1.7889,      47       1.3551       2.0009,      47       1.5755       4.1342,      47       1.7285       1.2655
      48       1.2499       1.8219,      48       1.3028       2.9012,      48       1.2189       2.6603,      48       1.6642       2.7106,      48       1.3867       1.7286,      48       1.6639       1.8215,      48       1.6159       2.4156,      48       1.6394       1.3019,      48       1.3344       4.3640,      48       1.8603       2.0119
      49       1.5285       1.9572,      49       1.4805       2.5171,      49       1.1991       1.7117,      49       1.7600       2.7651,      49       1.1859       2.0619,      49       1.5586       1.7296,      49       1.2329       2.6960,      49       1.3342       1.9063,      49       1.5273       3.6377,      49       1.7808       1.1718
      50       1.4013       1.6828,      50       1.4832       3.5077,      50       1.7402       2.0869,      50       1.6861       3.6532,      50       1.3149       2.3732,      50       1.8507       1.8537,      50       1.4653       2.4200,      50       1.3313       1.9469,      50       1.4033       3.9466,      50       1.7787       2.0725
