#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1,#Frame           CRBN        GSPT1
     260       1.9557       9.4933,     260       2.2756      10.1946,     260       1.9252       4.7528,     260       2.0758       7.1166,     260       1.5995       4.2726,     260       2.3414       4.3793,     260       1.7555       9.0671,     260       2.3121       3.9366,     260       1.7686       6.0662,     260       2.1961       3.4723
     261       1.6896       8.0625,     261       2.2487       9.4828,     261       2.1536       3.9247,     261       1.7597       8.3679,     261       1.8283       4.6627,     261       2.2831       4.7760,     261       1.8062      10.0101,     261       2.2885       4.7690,     261       1.7087       5.7128,     261       2.0557       2.8180
     262       2.2297       7.6460,     262       2.3125      10.7590,     262       1.9169       4.8378,     262       1.5583       8.7164,     262       1.6270       4.6882,     262       2.3261       5.1081,     262       1.7528       9.8910,     262       2.0377       3.8720,     262       1.3690       4.5779,     262       2.0334       3.4826
     263       1.8284       7.5877,     263       2.3777      10.8601,     263       1.8666       3.5687,     263       1.4835       8.5605,     263       1.7298       4.7408,     263       2.2720       4.9307,     263       1.7237       6.3937,     263       2.2848       4.1842,     263       1.7263       5.0732,     263       1.9858       3.5205
     264       1.9461       9.2035,     264       2.3090      11.0824,     264       1.9326       3.0197,     264       1.7384       8.8058,     264       1.8848       4.3376,     264       1.7629       5.5411,     264       1.5323       5.6365,     264       2.0355       4.4779,     264       1.5674       4.5836,     264       2.0720       3.2437
     265       2.1890      10.3358,     265       2.9627      10.2897,     265       1.9539       4.3838,     265       1.6947       8.1296,     265       1.8299       4.3731,     265       1.9149       4.9641,     265       1.7331       6.9000,     265       2.3828       4.1452,     265       1.9311       5.8321,     265       1.9747       4.1881
     266       2.1037      11.5502,     266       2.6120      10.3517,     266       1.8553       6.1274,     266       1.7647       8.0791,     266       1.9260       5.0040,     266       2.0972       4.5322,     266       1.6444       5.2820,     266       2.1713       4.5520,     266       1.8214       4.4915,     266       1.8232       3.1747
     267       1.9027       9.3322,     267       2.4059      12.1119,     267       2.1286       6.9802,     267       1.7810       7.4284,     267       1.7812       3.9391,     267       1.8929       7.0803,     267       1.4450       6.7003,     267       2.4542       3.8938,     267       1.8024       4.2528,     267       1.9803       3.4251
     268       2.0259       8.3899,     268       2.6705      11.4127,     268       1.8178       6.4411,     268       1.9321       7.8242,     268       1.6855       3.8583,     268       1.9078       5.4132,     268       1.5607       6.4909,     268       2.2543       4.9493,     268       1.6191       4.5281,     268       1.9038       3.3514
     269       1.9973       7.7622,     269       2.1412      10.5243,     269       1.9765       4.4546,     269       1.8593       8.4540,     269       1.6780       3.1572,     269       2.0636       6.1195,     269       1.5517       6.8934,     269       2.0660       3.7689,     269       2.1237       6.9529,     269       1.9521       4.9827
     270       2.0108       9.3509,     270       2.3035      10.5002,     270       2.2105       5.6074,     270       1.9705       8.9865,     270       1.7187       3.6945,     270       1.9663       6.3003,     270       1.6504       7.9573,     270       2.2706       4.9340,     270       1.5704       5.5413,     270       2.0303       4.4048
     271       1.9893       9.4536,     271       2.1294       9.5046,     271       1.6869       5.9253,     271       1.7550       8.9492,     271       1.7240       3.2288,     271       2.0637       7.1364,     271       1.6877       7.2129,     271       2.1714       5.4148,     271       1.7280       4.9367,     271       1.8066       4.3257
     272       1.6937       8.4191,     272       2.3738      11.1708,     272       1.7359       7.4921,     272       1.8092       8.8844,     272       1.6774       3.6839,     272       1.9894       6.9588,     272       1.7543       7.7768,     272       1.9773       4.8931,     272       1.7327       4.7117,     272       1.8277       4.1230
     273       1.7386      11.3277,     273       2.1927      10.1615,     273       1.6233       6.9173,     273       1.7865       8.7209,     273       1.5999       4.5899,     273       2.1864       5.4210,     273       1.7659       8.3680,     273       2.3729       4.6078,     273       1.6867       5.9848,     273       1.8185       3.8174
     274       1.7191      11.9411,     274       2.1498      12.1187,     274       1.7541       7.5897,     274       1.5871       6.9918,     274       1.6614       4.0361,     274       2.3623       6.7046,     274       1.7697       7.7798,     274       2.2034       5.8191,     274       1.8810       6.2621,     274       2.0611       2.3510
     275       1.6387      11.7968,     275       2.3918      10.8581,     275       2.0551       7.3604,     275       1.9096       7.9873,     275       1.6626       3.9142,     275       2.3450       5.7716,     275       1.9129       7.9531,     275       2.2454       5.9198,     275       1.7477       5.4098,     275       1.8113       3.9975
     276       1.6078      11.4796,     276       1.9979      10.8015,     276       2.2436       6.0374,     276       1.5723       7.4575,     276       1.7417       3.0376,     276       2.0045       6.4261,     276       1.7574       6.5711,     276       2.0416       5.7361,     276       2.0497       4.8456,     276       1.8950       3.0347
     277       1.8324      10.9931,     277       2.0419      10.3386,     277       2.1814       7.7556,     277       1.7246       7.3524,     277       1.8924       3.2945,     277       2.1464       5.0292,     277       1.8941       8.1416,     277       2.4003       6.6538,     277       1.9741       6.6829,     277       1.8381       4.0016
     278       1.9082       9.0844,     278       2.3034      10.6340,     278       2.2089       7.0167,     278       1.6615       7.4927,     278       1.5901       3.7442,     278       2.0602       4.8369,     278       1.8574       6.0026,     278       2.2550       5.8789,     278       2.1089       6.0186,     278       1.9962       4.3193
     279       1.9131      11.4635,     279       2.5101      11.3217,     279       1.9669       7.4752,     279       1.9477       7.5648,     279       2.0116       4.0493,     279       2.1389       5.5759,     279       1.8631       6.4286,     279       2.4601       4.6269,     279       2.2476       7.3344,     279       2.0574       4.3942
     280       2.0370       9.7478,     280       2.1821      10.8886,     280       2.3178       7.3417,     280       1.8733       7.1089,     280       1.9594       2.8544,     280       1.9557       5.1020,     280       1.8883       6.9813,     280       2.5715       5.1649,     280       1.8873       7.0817,     280       1.7024       5.5770
     281       2.2467       9.8987,     281       2.3078      10.3350,     281       2.2524       7.2434,     281       1.7900       7.3763,     281       2.0893       3.3546,     281       1.9587       6.6705,     281       2.1811       8.2674,     281       2.4156       5.5960,     281       2.0862       8.1267,     281       1.8745       5.9950
     282       2.1764      10.7273,     282       2.5573      10.5641,     282       2.0620       7.3470,     282       1.6879       7.8626,     282       2.0307       3.2849,     282       2.0594       6.4682,     282       2.1795       6.9750,     282       2.3472       5.3285,     282       2.0567       7.4906,     282       2.1255       5.5099
     283       2.1240      11.9293,     283       2.5857      12.0404,     283       2.2493       8.2573,     283       1.6366       6.9206,     283       2.0382       3.4560,     283       2.1551       6.0022,     283       2.4123       9.1253,     283       2.7739       5.1046,     283       2.0829       6.3261,     283       2.1956       6.0233
     284       2.2059      11.3289,     284       2.8261      11.6594,     284       2.2469      10.2422,     284       1.8094       7.0229,     284       1.9683       3.5453,     284       2.1074       4.8847,     284       2.2587       8.5975,     284       2.6448       6.3380,     284       1.9807       4.3417,     284       2.0206       6.0910
     285       1.9830      10.4984,     285       2.5793      11.2359,     285       1.9735       7.5180,     285       1.6962       7.5434,     285       2.0640       3.7329,     285       1.8871       6.3763,     285       2.4921       8.0988,     285       2.6783       5.1345,     285       1.9713       5.6999,     285       2.0407       6.1348
     286       2.2648      10.1763,     286       2.9374      10.7251,     286       2.2221       7.5393,     286       1.7578       6.6454,     286       1.9985       3.8760,     286       1.6917       6.5961,     286       2.4536       8.3647,     286       2.5299       5.1559,     286       2.1647       4.7834,     286       2.2824       5.3965
     287       2.2906      10.3518,     287       2.5486       9.5406,     287       1.9289      10.5258,     287       1.6313       8.3612,     287       1.9870       3.9422,     287       2.0693       8.0089,     287       2.6077       8.8790,     287       2.6782       5.9279,     287       2.2133       6.2087,     287       1.9235       5.6107
     288       2.0000      10.3089,     288       2.3048       8.7316,     288       2.1326       9.7633,     288       1.8867       7.4625,     288       2.0918       4.3030,     288       1.8866       9.3064,     288       2.7733       8.2314,     288       2.3474       5.2950,     288       1.8039       5.0495,     288       2.0495       6.6764
     289       1.9159      10.6232,     289       2.8086       9.9141,     289       2.2201       9.1490,     289       1.8641       6.8054,     289       2.3261       4.5976,     289       1.8622       8.2441,     289       2.7672       7.9312,     289       2.3652       5.3251,     289       1.8807       4.7751,     289       2.0789       6.2004
     290       1.9298      10.5128,     290       2.6389      10.2089,     290       2.3178      10.4668,     290       1.9917       6.4512,     290       2.0279       4.1842,     290       1.9445       6.8986,     290       2.5076       9.0138,     290       2.4755       5.8924,     290       2.3856       4.3514,     290       1.8733       6.4957
     291       2.1575      11.4635,     291       2.5708       9.9380,     291       2.0178      11.2444,     291       2.0368       7.2047,     291       2.0809       3.7514,     291       1.9770       5.8008,     291       2.5652       8.1152,     291       2.4646       5.4491,     291       1.8558       5.4475,     291       2.1545       6.6012
     292       1.8453      10.7146,     292       2.3244       9.6608,     292       1.9078       8.8819,     292       1.8264       6.7288,     292       2.1949       3.2315,     292       2.1557       5.5743,     292       2.2597       8.6710,     292       2.5654       4.4145,     292       2.6121       5.8173,     292       2.1992       6.7633
     293       2.2513       9.5442,     293       2.1535      10.6996,     293       2.1883       8.2541,     293       1.6907       7.4516,     293       2.2081       2.7928,     293       1.8496       7.1403,     293       2.5628      11.0281,     293       2.5115       5.0256,     293       1.9509       7.0575,     293       2.0339       6.6164
     294       1.8983       9.4353,     294       2.8030      11.7215,     294       2.1340       8.7746,     294       1.8795       6.1139,     294       2.0690       3.2110,     294       1.9513       7.9522,     294       2.6187      11.4142,     294       2.3392       4.8006,     294       2.0968       7.1831,     294       1.6636       7.9846
     295       2.0942       7.2775,     295       2.4567      10.8237,     295       2.3031       7.5008,     295       1.7840       6.4558,     295       1.8789       3.7009,     295       1.6035       5.6949,     295       2.5120      11.1720,     295       2.5612       4.9581,     295       1.9708       4.8411,     295       1.7426       6.1863
     296       2.2249       8.9132,     296       2.3522      10.6307,     296       2.2040       7.6165,     296       1.7892       6.5866,     296       1.8085       3.9567,     296       1.6909       4.9466,     296       2.7268      11.1186,     296       2.4105       5.5066,     296       1.9631       6.2913,     296       1.8421       5.6702
     297       2.1189      10.4953,     297       2.2672       8.3486,     297       2.0745       6.4445,     297       1.6758       5.6571,     297       1.7325       3.1875,     297       1.6498       6.9307,     297       2.2372      11.8393,     297       2.1966       5.2272,     297       2.0510       6.1585,     297       1.9196       6.1248
     298       1.7128       9.5704,     298       2.2387       6.7670,     298       2.4857       6.3797,     298       2.0987       7.0701,     298       2.0504       2.9430,     298       1.7889       6.3164,     298       2.4135      10.3943,     298       2.2582       4.6922,     298       2.1787       6.2860,     298       1.8063       6.9154
     299       2.0333      11.4918,     299       2.4351       7.2742,     299       2.6676       7.2472,     299       1.9101       7.0656,     299       1.8741       3.2702,     299       1.8288       5.1962,     299       2.2193       8.4248,     299       2.2449       4.2364,     299       2.2979       6.3270,     299       1.8194       6.8833
     300       2.1052      12.4271,     300       2.2038       8.3259,     300       2.6245       7.9757,     300       1.7858       6.7394,     300       1.9697       3.3183,     300       1.9299       4.9170,     300       2.4751       8.4319,     300       2.1330       4.3676,     300       1.9103       6.8627,     300       1.7823       6.6379
     301       1.9994      11.1431,     301       2.2432       9.5961,     301       2.2577       6.7560,     301       1.8186       7.0006,     301       2.2174       3.1111,     301       1.8022       5.1453,     301       2.1502       7.9740,     301       1.9447       4.6428,     301       2.2877       7.0227,     301       1.9568       7.1386
     302       1.9279      12.1069,     302       2.6484       8.6567,     302       2.4221       7.1005,     302       1.8612       7.4915,     302       1.8425       3.7976,     302       1.8126       5.7099,     302       2.4347       7.5608,     302       2.1371       4.7062,     302       2.2358       7.0535,     302       1.6146       7.5197
     303       2.0349      12.9976,     303       2.7139       7.9450,     303       2.0330       9.3334,     303       1.7517       6.9665,     303       1.9067       4.2425,     303       1.9622       5.7982,     303       2.1702       7.9514,     303       1.8081       6.3038,     303       2.0659       6.3801,     303       1.5750       7.6285
     304       2.0419      12.3356,     304       2.7092      10.9021,     304       1.9683       8.7017,     304       1.7781       7.8469,     304       1.8060       3.6110,     304       2.2912       6.9726,     304       2.0265       7.0851,     304       1.8690       6.3921,     304       2.0103       6.7230,     304       1.5474       7.4783
     305       2.1848      14.5323,     305       2.2070       8.4160,     305       2.4203       7.6418,     305       1.7953       7.0139,     305       1.9631       4.1206,     305       2.3029       6.6076,     305       2.2032       6.1942,     305       2.2748       5.1051,     305       2.0485       8.8599,     305       1.7490       7.9848
     306       2.2093      12.5189,     306       2.2420       7.8732,     306       2.3080       6.6877,     306       2.1220       8.1101,     306       2.0367       3.5365,     306       2.0477       6.0830,     306       2.0775       8.6917,     306       2.0857       5.4913,     306       2.2562       9.3721,     306       1.6442       7.2022
     307       2.2565      13.9758,     307       2.2812       6.7776,     307       2.2988       5.5216,     307       2.0427       8.3655,     307       1.8605       3.9256,     307       1.8202       6.3261,     307       1.8779       7.5404,     307       2.0682       5.3660,     307       1.8984       9.4814,     307       1.9361       7.2919
     308       2.1466      13.7236,     308       2.1147       7.0046,     308       2.1766       6.2801,     308       1.7479      10.3231,     308       2.2033       3.4303,     308       2.0456       7.0486,     308       1.7739       7.0522,     308       2.4230       5.2615,     308       2.2395       8.7089,     308       2.0848       7.3741
     309       2.2280      14.1234,     309       2.2762       7.8385,     309       2.0890       7.0265,     309       2.0045      10.5523,     309       1.8872       3.7956,     309       2.1673       6.7763,     309       2.3658       7.9470,     309       2.1179       5.9028,     309       2.3360       8.7272,     309       2.0105       7.4280
     310       2.1494      12.5025,     310       2.6923       7.9447,     310       2.3952       7.5646,     310       2.0344      10.6068,     310       1.9214       4.6705,     310       2.1193       6.4875,     310       2.1727       8.6001,     310       2.2036       5.1951,     310       2.6171      10.7229,     310       2.0147       6.8499
     311       2.4752      13.6287,     311       2.7672       7.5327,     311       2.5342       8.2368,     311       1.8305      10.4911,     311       1.9331       3.8718,     311       1.9707       7.4996,     311       2.0822       9.0538,     311       1.8603       5.6735,     311       2.3894       9.2755,     311       2.0593       7.7808
     312       1.9989      11.5659,     312       2.6298       6.7303,     312       2.7863       5.6870,     312       1.8975       8.6831,     312       2.2786       4.5582,     312       2.6839       8.3781,     312       1.9048       8.8660,     312       1.8196       5.3197,     312       2.0888       8.4544,     312       1.8703       7.3945
     313       2.3845      13.0442,     313       3.0899       7.8543,     313       2.8685       6.7878,     313       1.8039       9.3188,     313       2.1201       3.0048,     313       2.4449       8.1511,     313       1.9795       8.3937,     313       2.4957       4.8943,     313       2.0005       7.7031,     313       1.7052       7.5369
     314       2.3350      13.1448,     314       2.7357       7.5543,     314       2.4585       7.8013,     314       1.7434       9.1074,     314       2.2520       3.0311,     314       2.9054       8.6188,     314       1.8683       8.5383,     314       2.0196       5.7525,     314       2.0618       7.3656,     314       1.5239       7.2403
     315       1.8620      11.2537,     315       2.6681       7.6402,     315       2.3436       7.9361,     315       1.9016       8.9570,     315       2.0072       3.5808,     315       2.6093       7.5020,     315       2.0056       7.3025,     315       2.2429       5.0414,     315       2.1532       6.9541,     315       1.9165       7.0664
     316       2.2836      12.1673,     316       2.5163       7.2651,     316       2.3052       6.5228,     316       2.0119       7.9163,     316       2.1192       4.3419,     316       2.4302       8.3784,     316       2.2150       7.8312,     316       2.1357       5.5310,     316       2.3082       9.2948,     316       2.0361       6.3600
     317       1.7741      12.1893,     317       2.7841       7.4668,     317       2.1645       6.2028,     317       1.8500       8.5266,     317       2.2041       3.7584,     317       2.3020       8.2911,     317       1.9429       6.0092,     317       2.0374       6.4151,     317       2.1808       9.1517,     317       1.8617       7.1456
     318       2.0279      11.6105,     318       2.4912       6.0189,     318       2.2630       6.3983,     318       1.8164       8.7419,     318       2.0842       3.2243,     318       2.3160       9.1301,     318       2.1069       7.5358,     318       1.9263       5.4691,     318       2.2920       9.1093,     318       1.8888       6.2487
     319       2.4405      11.7817,     319       2.6314       6.4066,     319       2.1705       6.0593,     319       1.7855       7.5358,     319       2.1663       3.3180,     319       2.5289       8.2698,     319       2.3797       7.9541,     319       1.7263       5.8137,     319       2.2562      10.4675,     319       1.6564       7.0453
     320       2.0022      11.4501,     320       2.5388       6.3520,     320       2.5430       5.8955,     320       1.7559       6.6349,     320       2.0145       3.7376,     320       2.5088       9.0914,     320       2.3239       7.3251,     320       2.0424       5.0597,     320       2.2403       8.9513,     320       1.7296       6.9923
     321       2.0321      12.7859,     321       2.6152       7.8722,     321       2.5795       5.8588,     321       1.7749       7.8249,     321       2.4223       4.7219,     321       2.5387       8.5353,     321       1.9880       8.6411,     321       2.0323       5.7236,     321       1.9359       8.6302,     321       1.8028       7.1446
     322       2.3115      11.2632,     322       2.6993       6.8397,     322       2.1253       6.1693,     322       1.8954       6.9441,     322       2.0783       4.4784,     322       2.3595       6.3387,     322       2.2245       7.9553,     322       2.2403       4.8523,     322       2.4249       8.5093,     322       1.9235       7.1599
     323       2.0338      10.4165,     323       2.7139       6.2211,     323       2.3021       6.3695,     323       1.9052       8.7822,     323       2.0041       3.7474,     323       2.7322       7.1950,     323       2.4459       8.5228,     323       2.0288       4.7158,     323       2.7168       9.1150,     323       2.1241       7.7995
     324       2.0133      10.3791,     324       2.7613       6.1577,     324       2.0938       7.2858,     324       1.8397       7.2326,     324       2.1485       3.6977,     324       2.4549       8.0204,     324       2.1722       8.8064,     324       1.7736       4.8869,     324       2.4397       8.9929,     324       1.7654       8.1262
     325       2.1863      11.8648,     325       3.1395       6.5835,     325       2.1571       7.5053,     325       1.8988       7.0189,     325       2.2172       3.5180,     325       2.8497       6.6347,     325       1.9500       9.2614,     325       2.2218       5.5444,     325       2.5698       9.4152,     325       2.0271       8.0656
     326       2.5666      12.2826,     326       2.6271       5.4496,     326       2.2134       5.4033,     326       1.9909       7.0469,     326       2.1428       4.3326,     326       2.1865       6.6270,     326       1.8245       8.4525,     326       1.7653       6.0870,     326       2.6846       8.4154,     326       1.9377       6.9597
     327       2.5756      11.3813,     327       2.9172       5.3931,     327       2.3180       6.0884,     327       1.8866       7.5356,     327       2.6310       3.7214,     327       2.2822       5.4544,     327       2.1842      10.3150,     327       1.8321       5.9852,     327       2.5634       6.5273,     327       2.1729       8.5770
     328       2.3055      11.1581,     328       3.2448       4.9114,     328       2.0405       6.8442,     328       2.0230       7.0422,     328       2.4908       4.7863,     328       2.2969       6.6273,     328       2.3502      10.3794,     328       1.8796       6.1625,     328       2.7890       8.6221,     328       2.0006       8.2925
     329       2.5417      10.4824,     329       2.9096       5.7403,     329       2.0624       6.1368,     329       2.0451       6.5761,     329       2.6377       4.3985,     329       2.2371       7.5510,     329       2.3013      10.8153,     329       2.1720       5.8877,     329       2.6060       7.4871,     329       1.7407       9.0167
     330       2.5581      11.0857,     330       2.8535       6.5322,     330       1.9200       7.0863,     330       2.2888       7.2893,     330       2.3211       4.7316,     330       1.9177       7.3523,     330       2.3754      11.7470,     330       1.9564       7.9731,     330       2.8678       7.2482,     330       1.7791       8.8841
     331       2.7638      10.3812,     331       3.5485       6.4783,     331       2.0517       5.3540,     331       2.2095       7.0150,     331       2.4723       4.1477,     331       2.1927       9.3257,     331       2.5576      11.8493,     331       1.9829       8.6853,     331       2.7570       5.9598,     331       2.0163       7.2328
     332       3.2083      10.9819,     332       3.1571       6.7582,     332       1.9442       5.1520,     332       2.2944       7.8629,     332       2.3854       3.7292,     332       1.8895      10.3913,     332       2.4372      11.2762,     332       1.8524       8.3106,     332       2.7038       6.1859,     332       2.1020       6.9895
     333       2.7087      12.0280,     333       3.0303       7.4116,     333       2.0669       6.2542,     333       2.2137       7.1272,     333       2.4636       4.2448,     333       2.2138       9.2915,     333       2.1975      10.8429,     333       2.0409      11.2684,     333       2.5936       7.3103,     333       2.1029       6.5538
     334       2.8153      10.0195,     334       3.5073       9.1649,     334       1.6773       5.9176,     334       2.4434       7.8529,     334       3.0759       4.0527,     334       2.2529       9.2982,     334       2.2416      10.2827,     334       1.8999      10.1680,     334       2.3926       6.5052,     334       2.1360       7.6248
     335       2.5765      10.8852,     335       3.4586       8.5447,     335       2.1385       4.9154,     335       2.3481       7.4314,     335       2.7981       4.1567,     335       2.1717       9.7553,     335       2.2109       9.0201,     335       2.2839      10.0591,     335       2.9743       7.0262,     335       2.5751       8.6012
     336       2.4979      10.5431,     336       3.2740       7.3179,     336       2.0723       6.0625,     336       2.4298       8.7185,     336       2.5705       3.9145,     336       1.9648       8.6673,     336       2.3355      10.4463,     336       1.8697      10.5778,     336       2.1118       6.8994,     336       1.7258       7.6930
     337       2.9077       8.9156,     337       3.6133       6.1448,     337       1.9401       6.0608,     337       2.2798       7.3426,     337       2.8010       3.8269,     337       2.1564       8.3297,     337       2.4312      11.3943,     337       1.6974      11.3236,     337       2.5514       6.1285,     337       1.9774       7.3017
     338       2.0656       9.2022,     338       3.4981       6.9447,     338       1.9984       8.5885,     338       2.2227       8.1428,     338       2.6521       4.7038,     338       2.2921       9.1936,     338       2.5701      10.1647,     338       1.6709       9.1882,     338       2.0574       3.9336,     338       2.2776       6.9494
     339       2.1266       6.8827,     339       2.7863       6.0038,     339       2.0382       9.1809,     339       2.2026       7.6291,     339       2.5147       4.3781,     339       1.9387       8.5610,     339       2.8824       9.5297,     339       1.7681       8.5676,     339       2.1185       5.6108,     339       2.1348       8.7625
     340       2.3267       8.6631,     340       2.7453       5.7884,     340       2.1198      10.3636,     340       1.9068       7.9994,     340       2.2382       4.2476,     340       2.0238       9.4073,     340       2.3501       9.4581,     340       1.6448       8.0543,     340       2.1748       5.5459,     340       2.1178       8.6479
     341       2.5580       8.4717,     341       2.9676       6.5110,     341       1.8178      10.3845,     341       2.5491       7.9719,     341       2.3193       4.5153,     341       1.9528      11.1285,     341       2.8788       9.3364,     341       1.8610       8.7719,     341       2.3717       5.0561,     341       2.2796       8.5295
     342       2.8470       8.5719,     342       2.9026       6.1537,     342       2.0744       7.6112,     342       2.3065       7.0311,     342       2.2039       4.1949,     342       2.0318      11.7481,     342       2.6392       7.7307,     342       1.8458      10.4403,     342       2.7710       5.9603,     342       2.0823       8.5745
     343       2.4088       9.4528,     343       2.5991       4.8858,     343       1.8579       7.7560,     343       2.3677       6.1680,     343       2.1774       4.8193,     343       1.8752      10.5870,     343       2.6878      10.2900,     343       2.0273      11.7357,     343       2.3587       6.2764,     343       1.7941       8.5064
     344       2.7640       8.8736,     344       2.8241       5.6744,     344       1.9026       5.7066,     344       2.2199       5.6652,     344       2.0679       3.7602,     344       1.9765      10.9542,     344       2.5134      11.3506,     344       2.0144      10.1475,     344       2.5434       6.7237,     344       1.9431       6.6421
     345       2.2258       8.2076,     345       2.9600       4.4795,     345       2.1956       6.2695,     345       2.3613       6.4934,     345       2.1911       5.2402,     345       1.7741      12.9359,     345       2.6716      11.7934,     345       1.7348       8.5987,     345       2.7063       8.2924,     345       1.8028       7.0014
     346       2.1409       8.7934,     346       3.3198       5.5927,     346       1.9293       6.8955,     346       2.3627       6.2636,     346       2.1198       5.3002,     346       2.0286      11.9548,     346       2.3268      11.5695,     346       1.7791       7.3864,     346       2.6861       7.4821,     346       2.1730       7.5619
     347       2.6964      10.2548,     347       3.1372       7.0938,     347       1.9260       5.7926,     347       2.8122       6.9134,     347       2.3168       5.1970,     347       1.9798       8.1017,     347       2.3607      13.3774,     347       1.6998       8.7299,     347       2.3549       6.9722,     347       1.8725       7.3900
     348       2.7081      10.0691,     348       2.3902       5.2989,     348       1.7575       4.8082,     348       2.6720       6.3971,     348       2.0988       3.9471,     348       2.3523       9.6171,     348       2.9882      13.2756,     348       1.6669       9.0194,     348       2.8168       7.9831,     348       2.2950       8.5281
     349       2.5998       9.8647,     349       2.9886       5.5626,     349       1.7069       3.7934,     349       3.0506       6.5105,     349       2.0352       4.3408,     349       1.8891       9.3663,     349       3.1230      12.4689,     349       2.0432       8.0554,     349       3.0712       6.4229,     349       2.1258       8.3555
     350       2.6711       9.2284,     350       3.2398       6.2244,     350       1.8534       5.9172,     350       2.8502       7.0370,     350       2.3793       5.6150,     350       1.6975       9.9137,     350       2.9002      10.6060,     350       1.8826       6.2936,     350       2.6594       5.6654,     350       2.0483       8.0620
     351       2.6760      10.7372,     351       2.8190       5.7295,     351       1.5929       5.5033,     351       3.4394       7.9238,     351       2.4786       3.8257,     351       1.9552      10.1189,     351       3.1029      11.4959,     351       1.8011       5.9037,     351       2.9142       6.0686,     351       2.2577       9.0833
     352       2.7320       9.7371,     352       2.7525       5.8668,     352       2.1726       5.6720,     352       3.1676       8.5977,     352       2.2643       3.2839,     352       2.0640      10.9215,     352       2.9242      10.8392,     352       2.0233       5.9528,     352       2.8020       6.2639,     352       2.4604       8.9469
     353       2.7851       9.2422,     353       3.1453       6.4227,     353       2.3072       4.2513,     353       2.9467       8.0489,     353       2.4887       3.2364,     353       1.9935       9.3099,     353       3.0359      10.7964,     353       1.7818       7.3718,     353       2.6810       6.9015,     353       2.3595       8.3188
     354       3.2709      10.3330,     354       2.7613       6.7322,     354       2.3122       4.8655,     354       2.6444       7.2300,     354       2.7514       3.2667,     354       2.0879       9.6821,     354       3.0134      10.7461,     354       2.1548       8.9038,     354       2.6671       6.0732,     354       1.8665       8.4074
     355       2.8056       9.8842,     355       3.1129       6.9899,     355       2.2438       5.5243,     355       2.6610       6.5173,     355       2.4459       2.9891,     355       2.1218      10.0799,     355       2.8446      11.0556,     355       1.8222       6.6103,     355       3.2049       6.7534,     355       2.0241       7.5014
     356       2.9329      10.4141,     356       3.1924       6.8592,     356       2.0623       6.2060,     356       2.5926       6.8516,     356       2.8517       4.7155,     356       2.2284       9.9406,     356       3.0549      10.8193,     356       1.9302       7.1260,     356       3.2675       5.4840,     356       2.2676       8.0521
     357       2.6307      10.8692,     357       3.2114       6.7608,     357       2.3895       7.0447,     357       2.3086       5.9446,     357       2.6879       4.7842,     357       1.9382       9.7873,     357       2.5978       7.6575,     357       1.9198       5.5697,     357       2.8438       5.2901,     357       1.8079       9.1338
     358       2.6133       9.4082,     358       3.0280       6.4468,     358       2.2285       6.1475,     358       2.4075       5.6534,     358       2.7697       3.9695,     358       2.1379       9.9710,     358       3.0198      10.4452,     358       1.9962       6.3793,     358       2.9178       5.3608,     358       1.8803       8.9467
     359       2.9129       8.7293,     359       3.2042       7.8518,     359       2.2762       5.8749,     359       2.4873       6.3259,     359       2.8422       3.3471,     359       2.0946       8.7678,     359       3.0845      10.0418,     359       2.0280       5.9994,     359       2.7054       4.9314,     359       2.0390       9.0953
     360       2.7992       8.8635,     360       3.4500       6.5527,     360       2.0536       5.0279,     360       2.3902       6.0047,     360       2.4207       4.2063,     360       2.1191       8.0975,     360       2.9072      10.1090,     360       1.9920       6.4781,     360       2.7306       5.0538,     360       2.0673       8.5551
     361       2.7888       7.1437,     361       3.5424       7.9230,     361       2.4218       5.5091,     361       2.3370       6.6013,     361       2.5486       3.7302,     361       2.0219      10.7727,     361       2.9899      10.5453,     361       2.2516       7.3275,     361       2.8109       4.8376,     361       1.9189       8.7176
     362       2.9508       8.3001,     362       3.2628       8.2395,     362       2.0957       5.8974,     362       2.3983       6.4514,     362       2.6526       3.8700,     362       2.0654      11.4636,     362       2.6372       8.0914,     362       2.0853       7.2055,     362       2.7235       5.8386,     362       1.9558       8.4454
     363       2.6091       9.9488,     363       3.6380       7.3837,     363       2.0500       5.8073,     363       2.2519       5.1356,     363       2.8059       3.9296,     363       1.8622      10.4185,     363       3.1850       9.1685,     363       2.0420       5.5030,     363       2.5544       5.7338,     363       1.7254       7.7250
     364       2.5640       8.4908,     364       2.7533       7.9037,     364       2.3933       4.5604,     364       2.0163       5.7250,     364       2.3705       3.2222,     364       2.2164      12.9045,     364       2.2651       7.5258,     364       2.1064       6.6691,     364       2.9155       6.5623,     364       1.9293       8.0433
     365       2.7968      11.1046,     365       3.3379       7.6107,     365       2.2053       4.9575,     365       2.1238       5.8595,     365       2.9545       4.8379,     365       2.4596      12.7495,     365       2.5247       9.3829,     365       2.2224       7.4116,     365       2.7129       5.9508,     365       1.8731       8.9858
