#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      21       0.7435       2.2059       1.6864       0.4707       0.2812,      21       2.3264       2.0891       1.0646       0.4420       0.6314,      21       1.4132       1.0366       0.8505       0.9130       0.7672,      21       1.5412       1.1235       0.6035       0.2820       0.2609,      21       2.2930       1.6620       0.8096       0.8627       0.7575,      21       2.8352       1.8403       1.4673       1.0866       1.1690,      21       1.3361       1.7669       1.5405       0.9884       1.0930,      21       1.6353       1.2833       0.9700       0.7299       0.6169,      21       0.9905       1.3804       0.9139       0.6293       0.7065,      21       1.1487       2.0839       0.9072       0.5726       1.1299
      22       1.7501       2.3415       1.8818       0.7540       1.1581,      22       2.3908       2.5055       1.1830       0.4433       0.5489,      22       1.3173       1.2617       1.1653       0.3418       0.5048,      22       1.4559       1.5140       0.7272       0.3661       0.5165,      22       2.1499       1.7483       0.8444       0.5055       0.6916,      22       3.7664       2.1406       1.6973       0.5873       0.4172,      22       1.9203       1.3413       1.2483       0.6675       0.4093,      22       2.1290       1.5551       0.6354       0.2718       0.2130,      22       1.2595       1.1819       1.1860       0.5010       0.8346,      22       1.8285       2.0682       1.1206       0.7588       0.9499
      23       1.2196       2.0820       1.0889       0.4437       0.7671,      23       2.5229       2.3672       1.0568       0.5759       0.2400,      23       1.1437       1.4392       0.8585       0.4049       0.8892,      23       1.4343       1.4671       0.4322       0.4365       0.4211,      23       2.5356       1.6383       0.7793       0.6658       0.5327,      23       2.4787       1.8913       1.3448       0.5257       0.5550,      23       1.6209       1.4656       1.5563       0.6849       0.5371,      23       1.4764       1.7288       0.6492       0.6581       0.5377,      23       0.8740       1.3236       0.7951       0.5403       0.4834,      23       1.8551       1.9947       0.8234       0.6470       0.6914
      24       1.1028       1.8016       0.6739       0.6254       0.5802,      24       2.1017       2.0369       1.0998       0.5814       0.2480,      24       1.1181       1.5005       0.4933       0.4252       0.3154,      24       1.3534       1.3176       0.4673       0.4067       0.1231,      24       2.2848       1.7824       1.3563       0.8711       0.5494,      24       3.1093       2.0032       1.5569       0.5933       0.5883,      24       1.3833       1.4328       0.7781       0.8455       0.7279,      24       1.2357       1.8233       0.5354       0.2964       0.1948,      24       0.9500       1.5555       0.8698       0.3365       0.2629,      24       2.1348       2.1146       0.9391       0.8880       0.8823
      25       0.9804       1.9410       1.2456       0.6888       0.4691,      25       1.9448       2.2898       1.3174       0.3300       0.5155,      25       1.5342       1.5290       0.7779       0.3427       0.8573,      25       1.9224       1.4893       0.8698       0.7447       0.5228,      25       1.8672       1.7919       1.0226       0.6187       0.7002,      25       1.5175       2.1547       1.4243       0.7155       0.6073,      25       1.4181       1.1145       0.9976       0.4607       0.4045,      25       1.7567       1.9191       0.9269       0.2581       0.9052,      25       0.8787       1.3215       0.7881       0.5364       0.6157,      25       1.7389       1.7934       0.7153       0.8015       0.6436
      26       1.8277       2.1023       1.2299       0.5896       0.4581,      26       2.2905       1.9811       1.6994       0.7174       0.5546,      26       0.9558       1.5490       0.8478       0.3830       0.8634,      26       1.7221       1.5508       0.7685       0.5458       0.5268,      26       1.9432       1.4774       1.0003       0.3152       0.3761,      26       1.2808       1.9693       2.1419       0.5985       0.4442,      26       1.9533       1.0779       1.4523       0.5623       0.5163,      26       1.8381       1.3033       0.6890       0.6678       0.7638,      26       1.0135       1.4064       0.7845       0.4345       0.2834,      26       1.7622       2.0842       0.5861       0.4206       0.4763
      27       2.4063       2.0043       1.3311       0.4885       0.3606,      27       3.1506       2.1625       1.2236       0.6267       1.2550,      27       0.9496       2.0472       0.8413       0.4141       0.5375,      27       1.3780       1.2117       0.6126       0.7693       0.8190,      27       2.1637       1.7648       0.9467       0.4710       0.7443,      27       1.4723       1.8562       0.9829       0.5071       0.5329,      27       2.0394       1.0716       0.6411       0.5506       0.6790,      27       1.7662       1.8265       0.7039       0.5990       0.6998,      27       1.0736       1.4019       1.6829       0.6236       0.7767,      27       2.1403       2.3930       0.9667       0.5465       0.4516
      28       2.6778       2.3300       1.6378       0.8989       0.9631,      28       1.1964       2.1828       0.5548       0.4362       0.3661,      28       0.6563       1.7700       0.6454       0.5467       0.5841,      28       1.4440       1.0460       0.6296       0.6331       0.5024,      28       2.1207       1.5239       0.8572       0.6469       0.6041,      28       2.0472       1.8303       0.8817       0.5599       0.7126,      28       0.9890       1.0025       0.8239       0.5414       0.1435,      28       2.0122       1.2896       0.8714       0.5828       0.6279,      28       1.0285       1.4427       0.9183       0.6644       1.3201,      28       1.7308       2.0372       0.7081       0.4990       0.1908
      29       2.5367       1.9160       0.4831       0.5394       0.3350,      29       1.2312       2.3091       0.7938       0.5947       1.3734,      29       0.8053       1.8111       0.7004       0.4193       0.3925,      29       1.7187       1.1313       0.6776       0.6101       0.3941,      29       2.4645       1.5725       0.9303       0.7059       0.5803,      29       2.0668       2.0662       0.6212       0.6402       0.3748,      29       1.1820       1.0880       0.6269       0.5189       0.4058,      29       1.8318       1.1725       0.9069       0.6391       0.7073,      29       1.2354       1.4594       0.8797       0.7765       0.4647,      29       1.0147       1.9724       0.7762       0.8065       0.3736
      30       2.1758       2.1809       0.8976       0.3096       0.2877,      30       1.8787       2.1250       0.9783       0.4750       0.6329,      30       1.4149       1.5338       0.7123       0.6475       0.7579,      30       2.2076       1.3675       0.5094       0.5384       0.2902,      30       1.6110       1.2980       0.6431       0.8421       0.7495,      30       2.2455       2.0497       0.6143       0.4708       0.2500,      30       1.4880       1.1708       0.4317       0.7110       0.5626,      30       2.0453       1.4152       0.8275       0.8365       0.7234,      30       1.0954       1.8165       0.8783       0.3927       0.2489,      30       1.4634       2.0025       1.1472       0.6081       0.6018
      31       1.2156       2.0970       0.7377       0.5537       0.9724,      31       2.6352       2.6581       0.5404       0.5281       0.4602,      31       1.5226       1.8231       0.5443       0.4966       1.0488,      31       1.8350       1.4905       0.5642       0.5767       0.5345,      31       1.4082       1.3182       0.9475       0.7202       0.6990,      31       1.8796       1.9187       0.4201       0.5777       0.3028,      31       2.5788       1.0409       0.8072       0.5469       0.3115,      31       2.1368       1.5458       0.8893       0.7869       0.4982,      31       1.1142       1.5378       1.1318       0.6027       0.5416,      31       1.2713       1.7550       0.7567       0.4526       0.6134
      32       1.3367       2.0252       1.1256       0.6257       1.0486,      32       1.8508       2.1910       1.4198       0.7426       0.8077,      32       1.5909       1.5090       0.5493       0.3727       0.4208,      32       2.7184       1.3382       0.4662       0.6189       0.7274,      32       1.9793       1.3909       1.4565       0.2357       0.7683,      32       2.2303       2.0832       0.8363       0.5471       0.0438,      32       2.7026       1.0622       0.5804       0.8355       0.5088,      32       2.8874       1.2841       1.0523       0.8264       0.6467,      32       1.0484       1.2787       1.0372       0.6826       1.0062,      32       1.7489       1.3540       2.1760       0.7650       0.7430
      33       1.9168       2.3285       0.6177       0.5557       0.1942,      33       1.1829       2.4308       1.1735       0.5734       0.5991,      33       1.2558       1.5722       0.5210       0.4853       0.6965,      33       2.8928       1.0950       0.8072       0.6478       1.0540,      33       1.3844       1.4424       0.7376       0.5679       0.9027,      33       1.7816       2.1257       0.7731       0.6196       0.4904,      33       2.0791       1.0215       0.7358       0.6595       0.4088,      33       2.6255       1.2153       1.5200       0.9427       0.8987,      33       1.1738       1.2718       1.1410       0.7288       0.5732,      33       1.5320       1.3850       2.0476       0.7240       0.8009
      34       1.9980       1.8093       0.6554       0.5980       1.3553,      34       1.3498       2.6177       0.8156       0.4280       0.7945,      34       1.0425       2.0513       0.9670       0.3261       1.0087,      34       2.8135       0.9454       0.7868       0.4347       0.4855,      34       1.9281       1.4323       0.7434       0.7439       0.5084,      34       2.3418       1.9106       0.8317       0.7167       0.6870,      34       2.3141       0.9274       0.9452       0.8294       0.8992,      34       2.4043       1.3381       1.3759       0.6105       0.5493,      34       1.1126       1.7442       0.9005       0.3916       0.5310,      34       1.4387       1.5628       2.3253       0.6608       0.7369
      35       2.5499       1.6834       0.8280       0.5155       0.6517,      35       1.8523       2.6426       0.6739       0.6761       0.8609,      35       1.5226       1.5374       1.1175       0.2993       0.5226,      35       2.7131       1.0621       0.8188       0.7439       1.1956,      35       1.7897       1.5504       1.5770       0.8919       0.8718,      35       1.7298       1.7336       1.8847       0.7358       0.9506,      35       1.7053       1.2083       0.5795       0.7814       0.5229,      35       2.2645       1.3588       0.8727       0.7441       0.6018,      35       1.2753       1.5640       0.9437       0.2234       0.7187,      35       2.1266       2.0780       2.1993       0.4038       0.3825
