#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker,#Frame          GSPT1         CRBN     GSPT1lig      CRBNlig       linker
      21       0.9242       0.8519       2.3042       0.8712       2.5257,      21       1.3748       1.1793       1.1431       0.6016       0.6808,      21       1.1443       1.1293       0.6640       0.5176       0.8169,      21       1.2780       1.1044       1.0591       0.3704       1.1559,      21       1.7905       1.1112       1.4582       0.8274       0.8866,      21       3.8895       1.1524       1.7823       1.0885       2.2178,      21       1.5813       1.1080       0.6376       0.3340       0.4555,      21       1.6764       0.9012       0.7740       0.6460       1.2899,      21       1.7932       1.0677       1.9320       0.7015       1.4865,      21       2.6721       1.2315       2.5115       0.8325       1.5295
      22       1.3123       0.9675       2.0015       0.7457       2.4410,      22       1.8065       1.0398       0.8096       0.6361       0.7656,      22       1.2732       0.9913       0.6056       0.5021       0.5363,      22       1.4056       1.4267       1.0883       0.3725       1.3837,      22       1.9190       1.1369       1.1007       0.6091       1.0017,      22       3.8487       1.0043       1.8269       0.9397       2.5878,      22       1.9789       1.1638       1.6182       0.6105       0.6913,      22       1.6959       1.0776       1.2356       0.5148       0.8326,      22       1.4150       1.1845       1.6547       0.3842       1.1444,      22       2.3397       1.1540       1.2738       0.4112       0.9482
      23       1.1799       0.9676       2.2797       0.5656       2.0662,      23       1.8041       1.1395       0.7192       0.2754       0.4944,      23       1.2606       1.0257       1.3258       0.4521       1.2346,      23       1.5698       1.1584       1.0888       0.6004       1.4215,      23       1.5401       1.1079       0.9675       0.5225       0.8294,      23       3.9058       1.1356       2.0671       0.7690       2.3508,      23       1.6542       1.2574       1.9068       0.5455       0.6866,      23       2.0883       1.0459       1.4639       0.7134       0.6334,      23       2.4025       1.1454       1.9081       0.3795       1.6033,      23       2.2049       1.2086       1.3567       0.7561       1.3324
      24       1.6921       1.1356       2.2802       1.0736       1.8816,      24       2.0728       1.1441       0.6425       0.6532       0.4944,      24       1.0759       1.2215       0.5121       0.2731       0.6887,      24       1.3530       1.1820       1.4457       0.3535       1.5521,      24       1.3085       1.2096       1.0688       0.3057       0.4225,      24       3.2037       1.4101       2.6370       1.2318       2.5704,      24       1.8954       1.5752       1.9273       0.7403       1.4225,      24       2.0173       1.1024       0.4831       0.4025       1.0457,      24       2.1355       1.0588       2.7618       0.6874       1.6722,      24       1.7380       0.8934       1.5461       0.9021       1.4533
      25       1.4326       0.9684       2.3225       0.7201       1.9179,      25       1.8668       1.6190       0.6515       0.6378       0.6732,      25       1.2629       1.2857       0.9047       0.5890       0.4168,      25       1.6121       1.1229       1.2400       0.5216       1.1857,      25       1.7155       1.0346       1.1583       0.4393       1.0146,      25       2.6445       1.4203       2.1134       0.9321       2.3706,      25       2.1634       1.6542       2.1784       0.6491       0.8616,      25       2.0507       1.2178       0.7374       0.3414       1.1694,      25       2.2286       1.1670       1.6550       0.8213       0.9748,      25       1.9996       1.0691       1.4555       0.8456       1.1833
      26       1.4535       1.1760       1.9313       0.8304       2.0565,      26       1.0840       1.2877       1.3118       0.5165       0.5473,      26       1.1306       1.3211       0.7677       0.5457       0.5751,      26       1.6451       1.4449       0.6589       0.3197       0.4270,      26       1.4489       0.9817       1.4065       0.4146       1.0302,      26       4.0741       1.4041       2.1050       0.8308       2.1758,      26       1.1038       1.3239       1.6508       0.4741       0.4230,      26       2.6284       1.1727       1.3005       0.5287       1.5336,      26       2.1979       1.0529       2.4040       0.7101       1.4828,      26       2.4516       1.0784       1.7972       0.8585       1.2997
      27       1.3776       1.1474       2.2577       0.7822       2.5983,      27       1.0660       1.3592       1.3351       1.1548       1.0118,      27       1.4290       1.3037       1.1947       0.6883       1.3300,      27       1.4624       1.1412       0.9924       0.7114       0.8022,      27       1.9213       0.9433       1.4836       0.5092       1.2467,      27       3.4781       1.3333       3.4787       1.0849       2.3554,      27       1.3877       1.4176       1.3241       0.5511       0.5941,      27       1.7610       1.1486       1.6300       0.4373       1.2417,      27       1.6718       1.2266       2.4346       0.4203       1.8066,      27       3.0169       1.1515       1.7617       0.9093       1.0464
      28       2.1526       1.0325       2.0592       1.0305       2.2670,      28       1.4337       1.1949       1.2225       0.9366       1.3667,      28       2.3856       1.3756       1.0191       0.7324       1.0698,      28       1.2963       1.3063       0.9693       0.5605       1.0300,      28       1.7299       1.1646       1.2304       0.5526       0.4340,      28       3.5681       1.2222       3.6909       1.0031       2.4974,      28       1.3470       1.3914       1.5758       0.3190       0.7405,      28       2.7312       1.1975       1.1659       0.6453       1.6132,      28       1.9722       1.1934       2.1604       0.4433       1.2303,      28       2.8114       0.9602       1.9304       0.5193       1.4995
      29       1.6269       0.8935       2.1301       0.7792       2.0548,      29       1.7828       1.2410       1.4224       0.7186       1.3342,      29       2.8350       1.5615       1.3425       0.6694       1.2011,      29       1.7616       1.4699       1.1723       0.4723       0.5425,      29       1.6328       1.1054       0.9865       0.6907       1.4338,      29       2.8122       1.2471       4.0340       0.7133       2.3939,      29       1.4911       1.3495       2.5496       0.4486       0.7344,      29       2.3788       1.2875       1.6478       0.3605       1.4369,      29       2.6905       1.1237       2.0159       0.5455       1.6354,      29       1.9365       1.1150       1.3476       0.3388       1.3113
      30       2.0173       0.8433       2.0922       0.9870       2.3834,      30       1.4389       1.2856       1.4478       0.7668       1.3731,      30       1.4579       1.1799       0.5543       0.5296       0.4407,      30       1.3818       1.5046       0.8015       0.4608       0.3896,      30       1.5663       1.1823       1.1408       0.3548       0.5901,      30       3.4237       1.2111       4.2058       1.0615       2.8213,      30       2.0034       1.1123       1.8262       0.2833       0.8229,      30       3.1737       1.1957       1.7212       0.5545       1.4728,      30       2.4687       1.0705       1.8120       0.7528       1.5381,      30       2.1698       1.1997       1.7884       0.3016       1.4505
